Prompt,WritingToolCategory
Summarize the following text into 3 texts.,Summarization
Rewrite this text to be more formal.,Paraphrasing / Rewriting
Translate the following text from English to German.,Translation
List the main points from this meeting note.,Key-Point / Bullet Extraction
Convert this casual text into a professional tone.,Style / Tone Adjustment
Expand these text into a detailed text.,Expansion / Elaboration
Correct any grammar or spelling mistakes in this text.,Grammar / Fluency Correction
Summarize this document in bullet points.,Summarization
Rewrite this text to make it concise.,Paraphrasing / Rewriting
Translate the following text into French.,Translation
Highlight the 5 most important facts from this report.,Key-Point / Bullet Extraction
Make this text sound friendlier.,Style / Tone Adjustment
Expand these key ideas into a short essay.,Expansion / Elaboration
Fix grammar and punctuation in this message.,Grammar / Fluency Correction
Summarize this article in one text.,Summarization
Rewrite this text using simpler words.,Paraphrasing / Rewriting
Translate this text into Spanish.,Translation
Extract the main conclusions from this research paper.,Key-Point / Bullet Extraction
Change this text to a more persuasive style.,Style / Tone Adjustment
Expand this text into a detailed text.,Expansion / Elaboration
Correct grammatical errors in this report.,Grammar / Fluency Correction
Condense this long text into 2 texts.,Summarization
Rewrite this text to make it more engaging.,Paraphrasing / Rewriting
Translate this text to Italian.,Translation
List the 3 key takeaways from this document.,Key-Point / Bullet Extraction
Make this note sound more professional.,Style / Tone Adjustment
Expand this text into a detailed text.,Expansion / Elaboration
Correct typos and grammatical mistakes in this text.,Grammar / Fluency Correction
Summarize this text in one text.,Summarization
Rewrite this text with a humorous tone.,Paraphrasing / Rewriting
Translate this text into Japanese.,Translation
Highlight the main arguments in this essay.,Key-Point / Bullet Extraction
Make this text sound more empathetic.,Style / Tone Adjustment
Expand these text into a coherent essay.,Expansion / Elaboration
Fix grammar and punctuation errors in this text.,Grammar / Fluency Correction
Summarize this meeting transcript.,Summarization
Rewrite this text for clarity.,Paraphrasing / Rewriting
Translate this text into Portuguese.,Translation
Extract key points from this technical report.,Key-Point / Bullet Extraction
Change this message to a formal tone.,Style / Tone Adjustment
Expand these short texts into a detailed description.,Expansion / Elaboration
Correct grammar and spelling in this text.,Grammar / Fluency Correction
Summarize this blog post in 4 texts.,Summarization
Rewrite this text to make it simpler.,Paraphrasing / Rewriting
Translate this text into Russian.,Translation
List the main ideas from this chapter.,Key-Point / Bullet Extraction
Make this text sound more persuasive.,Style / Tone Adjustment
Expand this bullet list into a coherent text.,Expansion / Elaboration
Correct grammar and punctuation in this document.,Grammar / Fluency Correction
Summarize this text in bullet points.,Summarization
Rewrite this message with a professional tone.,Paraphrasing / Rewriting
Translate this text to Chinese.,Translation
Highlight the 5 main ideas from this text.,Key-Point / Bullet Extraction
Make this text sound more friendly.,Style / Tone Adjustment
Expand this brief text into a text.,Expansion / Elaboration
Correct any grammar mistakes in this text.,Grammar / Fluency Correction
Summarize this long report in a few texts.,Summarization
Rewrite this text to make it more engaging.,Paraphrasing / Rewriting
Translate this text into Arabic.,Translation
Extract the key points from this lecture note.,Key-Point / Bullet Extraction
Change this text to a more casual style.,Style / Tone Adjustment
Expand these brief text into a summary.,Expansion / Elaboration
Fix grammar and spelling in this essay.,Grammar / Fluency Correction
Summarize this text in one text.,Summarization
Rewrite this text in simpler words.,Paraphrasing / Rewriting
Translate this text into Korean.,Translation
List the main arguments in this article.,Key-Point / Bullet Extraction
Make this message sound more formal.,Style / Tone Adjustment
Expand these short text into a detailed summary.,Expansion / Elaboration
Correct grammar errors in this text.,Grammar / Fluency Correction
Summarize this blog article in 3 texts.,Summarization
Rewrite this text with a persuasive tone.,Paraphrasing / Rewriting
Translate this text into Turkish.,Translation
Extract the main ideas from this essay.,Key-Point / Bullet Extraction
Make this text sound more friendly.,Style / Tone Adjustment
Expand this text into a full text.,Expansion / Elaboration
Correct spelling and grammar in this text.,Grammar / Fluency Correction
Summarize this document in a short text.,Summarization
Rewrite this text to make it clearer.,Paraphrasing / Rewriting
Translate this text into Hindi.,Translation
List the key points from this report.,Key-Point / Bullet Extraction
Make this note sound more professional.,Style / Tone Adjustment
Expand these bullet points into texts.,Expansion / Elaboration
Correct grammar and punctuation in this text.,Grammar / Fluency Correction
Summarize this article in a few texts.,Summarization
Rewrite this text with a humorous tone.,Paraphrasing / Rewriting
Translate this text into Japanese.,Translation
Extract the main conclusions from this document.,Key-Point / Bullet Extraction
Change this text to a formal style.,Style / Tone Adjustment
Expand these text into a coherent essay.,Expansion / Elaboration
Correct grammar and spelling in this text.,Grammar / Fluency Correction
Summarize this text in 5 bullet points.,Summarization
Rewrite this text for clarity.,Paraphrasing / Rewriting
Translate this document into French.,Translation
List the main points from this presentation.,Key-Point / Bullet Extraction
Make this message sound more empathetic.,Style / Tone Adjustment
Expand these brief text into full texts.,Expansion / Elaboration
Correct grammar and punctuation in this text.,Grammar / Fluency Correction
Summarize this text into key points.,Summarization
Rewrite this text with a professional tone.,Paraphrasing / Rewriting
